X_coord	Y_coord	Names
-0.0077020962147756845	0.08645948436897753	pdb4pqu_A_RT
0.10346475052426256	-0.07794138438217238	pdb7y7q_A_RT
0.016680331401114558	0.09720470914366085	pdb4pqu_A,B_RT
0.11423987466767466	-0.030669062500666675	pdb4u1c_full
-0.06038701217026901	0.029746875109083987	pdb6ar1_A_RT
-0.061740496448227856	-0.039667300097059655	pdb3ol7_A_RT
-0.036048884635914	-0.09784606949103526	pdb6tz2_A_RT
0.08203504360355134	-0.10214445212163689	pdb1h4s_full
-0.013918265747830987	-0.1425043894301642	pdb2rh1_full
0.1364580061682694	-0.010490601682679268	pdb3uo7_full
0.13091619671566973	0.016442973896432598	pdb1aoi_full
0.056502217187004496	-0.013251642754212034	pdb7yer_A_RT
0.05384731644182	-0.07569705461705052	pdb7y38_full
-0.00803230957195294	0.07833249592724388	pdb4hkq_A_RT
0.01231590320137646	0.10298588200840625	pdb1mu2_A,B_RT
0.12302011124483547	0.048335918973629426	pdb7xi9_full
-0.07750616312393356	-0.03430520006724069	pdb4k50_A_RT
-0.0677620397337018	0.02472628387643532	pdb7uin_D_RT
-0.07198045342166663	-0.016262125909808852	pdb4k4y_A_RT
-0.0036958191548093185	0.08574415993652139	pdb1mu2_A_RT
-0.058141297638324034	0.05163100881833908	pdb7v9u_B_RT
-0.06356857331253248	-0.022196565433339806	pdb4wta_A_RT
0.06742312661559802	0.07130963322762628	pdb7ksf_A_RT
-0.0011191617235833035	-0.027383530185723284	pdb6qct_B_RT
-0.06697184111767204	-0.027317707301958608	pdb5tsn_A_RT
-0.08760779136556641	-0.10640928060130843	pdb7kfu_C_RT
-0.11903463529233582	0.01003337216428257	pdb7r06_A_RT
-0.06348326590029654	0.02863043112007493	pdb6me0_C_RT
-0.11511264380800791	0.03958373606033882	ORF2-full
0.12737839361110434	-0.05679869357351558	pdb6oe7_full
-0.10310010311076517	0.046029960825412816	pdb8gh6_A_RT
0.032605098816117783	0.10975446790628907	pdb1mu2_B_RT
-0.07188733003099831	-0.06504533084194772	pdb7aap_A_RT
-0.08053617716341027	0.07938575710566027	pdb5g2x_C_RT
-0.013517100262507544	0.07047461313501308	pdb4mh8_A_RT
-0.005180440945619643	-0.07873037178121846	pdb4i43_B_RT
0.020015288382238944	-0.13575622852403596	pdb7pks-bundle2_full
0.10532650434077324	0.021767212983979288	pdb7mez_full
-0.008982491800174474	0.08147873912038732	pdb7sr6_A_RT
-0.06905555321056499	-0.030812328166071132	pdb2e9r_X_RT
0.003668250011425969	0.07815941383044432	pdb7o0g_A_RT
0.1169643247975065	0.07564610375183152	pdb4cgz_full
-0.05728689534162041	-0.021087639306165754	pdb6kwr_A_RT
0.060287195305181486	-0.12240077452349356	pdb1bgw_full
0.02943968134225424	0.11198197876870435	pdb4pqu_B_RT
-0.01436143405607503	0.07104273830620465	pdb4ol8_A_RT
0.03358440902155266	-0.09987262187135895	pdb7pks-bundle1_full
-0.0029405640304605153	0.02030707711598323	pdb7kqn_A_RT
0.07576461257247415	-0.056744549480596006	pdb2r92_full
-0.09127579563808104	-0.045860122835842905	pdb7om7_A_RT
